ID,original_language,good_diacritic,good_sentence_raw,good_sentence,good_translation,good_source,good_page,good_num,bad_diacritic,bad_sentence_raw,bad_sentence,bad_translation,bad_source,bad_page,bad_num,phenomenon,paradigm
723,ind,g,Dia yang tidak ingat dengan dirinya.,Dia yang tidak ingat dengan dirinya.,(S)he did not remember herself/himself.,Arka & Manning 1998 (adapted),7,19a,*,Dengan dirinya yang dia tidak ingat.,Dengan dirinya yang dia tidak ingat.,(S)he did not remember herself/himself.,Arka & Manning 1998,7,19b,Filler-gap,cleft
2260,zsm,g,Faridah membeli baju itu untuk dirinya sendiri.,Faridah membeli baju itu untuk dirinya sendiri.,Faridah bought the clothes for herself.,Nomoto 2011 (adapted),8,25c,*,Faridah membeli baju itu untuk diriku sendiri.,Faridah membeli baju itu untuk diriku sendiri.,Faridah bought the clothes for herself.,Nomoto 2011 (adapted),8,25c,Morphology,reflexive
2261,zsm,g,Ali memukul dirinya sendiri.,Ali memukul dirinya sendiri.,Ali hit himself.,Nomoto 2011 (adapted),8,25b,*,Ali memukul dirimu sendiri.,Ali memukul dirimu sendiri.,Ali hit himself.,Nomoto 2011 (adapted),8,25b,Morphology,reflexive
2262,zsm,g,Faridah membeli baju itu untuk dirinya sendiri.,Faridah membeli baju itu untuk dirinya sendiri.,Faridah bought the clothes for herself.,Nomoto 2011 (adapted),8,25c,*,Faridah membeli baju itu untuk dirimu sendiri.,Faridah membeli baju itu untuk dirimu sendiri.,Faridah bought the clothes for herself.,Nomoto 2011 (adapted),8,25c,Morphology,reflexive
1239,ind,g,Adit bukan gurunya Udin.,Adit bukan guru Udin.,Adit is not Udin’s teacher.,Besier 2021,25,20,*,Adit bukan adalah gurunya Udin.,Adit bukan adalah guru Udin.,Adit is not Udin’s teacher.,Besier 2021,25,18,Misc./Unknown,copula
1236,ind,g,Adit masih gurunya Udin.,Adit masih guru Udin.,Adit is still Udin's teacher.,constructed,nan,nan,*,Adit masih adalah gurunya Udin.,Adit masih adalah guru Udin.,Adit is still Udin's teacher.,Besier 2021,24,12,Misc./Unknown,copula
731,ind,g,Buku itu sudah dibaca oleh dia.,Buku itu sudah dibaca oleh dia.,The book was already read by him/her.,Arka & Manning 1998,10,24a,*,Buku itu sudah baca oleh dia.,Buku itu sudah baca oleh dia.,The book was already read by him/her.,Arka & Manning 1998,10,24b,Argument Structure,passive
2267,ind,g,Dirinya yang dia ajukan sebagai calon.,Dirinya yang dia ajukan sebagai calon.,It is himself that he nominated as a candidate.,Arka & Manning 1998,4,7a,*,Dirinya yang ajukan sebagai calon.,Dirinya yang ajukan sebagai calon.,It is himself that he nominated as a candidate.,Arka & Manning 1998 (adapted),4,7a,Binding,anaphor
1773,ind,g,Saya tidak mau pergi ke mana-mana.,Saya tidak mahu pergi ke mana-mana.,I do not want to go anywhere.,Sato 2016,245,7b,*,Saya tidak mau menangis kenapa-kenapa.,Saya tidak mahu menangis kenapa-kenapa.,I do not want to cry for any reason.,Sato 2016,245,7c,NPI Licensing,NPI
1248,ind,g,Dia adalah dokter.,Dia adalah doktor.,S/he is a doctor.,constructed,nan,nan,*,Dia akan dokter.,Dia akan doktor.,S/he will be a doctor.,Besier 2021,27,32,Misc./Unknown,copula
741,ind,g,Itu terbuat dari kaca. Itu diterangi oleh lampu.,Itu diperbuat daripada kaca. Ia diterangi oleh lampu.,It is made of glass. It is lit by lamps.,constructed,nan,nan,*,Itu terbuat dari kaca. Ia diterangi oleh lampu.,Itu diperbuat daripada kaca. Itu diterangi oleh lampu.,It is made of glass. It is lit by lamps.,Moeljadi 2023,438,nan,Misc./Unknown,pronoun
1254,ind,g,Pacarnya Siskakah Adit?,Kekasih Siskakah Adit?,Is it the case that Adit is Siska’s boyfriend?,constructed,nan,nan,*,Adalah pacarnya Siskakah Adit?,Adalah kekasih Siskakah Adit?,Is it the case that Adit is Siska’s boyfriend?,Besier 2021,28,42,Misc./Unknown,focus
232,ind,g,Kamis ini bukankah Siti mau membeli buku itu?,Khamis ini bukankah Siti mahu membeli buku itu?,Does Siti want to buy that book on Thursday?,Polinsky & Potsdam 2008,1627,39b,*,Bukankah kamis ini Siti mau membeli buku itu?,Bukankah Khamis ini Siti mahu membeli buku itu?,Does Siti want to buy that book on Thursday?,Polinsky & Potsdam 2008,1627,39a,Control/Raising,complementation
742,ind,g,Mereka fokus pada pelajaran Bahasa Indonesia.,Mereka fokus pada pelajaran bahasa Melayu.,They focus on Indonesian language lessons.,constructed,nan,nan,*,Mereka fokus pada belajaran Bahasa Indonesia.,Mereka fokus pada belajaran bahasa Melayu.,They focus on Indonesian language lessons.,Moeljadi 2023,439,nan,Morphology,nominalization
746,ind,g,Di sana ada banyak rumah sakit/panjang.,Di sana ada banyak rumah panjang.,There are many {hospitals/long houses} there.,constructed,nan,nan,*,Di sana ada banyak rumah sakit-sakit/panjang-panjang.,Di sana ada banyak rumah panjang-panjang.,There are many {hospitals/long houses} there.,Moeljadi 2023 (adapted),439,nan,Morphology,inflection
745,ind,g,Dia membeli beberapa buku.,Dia membeli beberapa buku.,S/he bought several books.,constructed,nan,nan,*,Dia membeli beberapa buku-buku.,Dia membeli beberapa buku-buku.,S/he bought several books.,Moeljadi 2023,439,nan,Morphology,inflection
240,ind,g,Gadis cantik itu ditontonnya.,Gadis cantik itu diperhatikannya.,He watched that beautiful girl.,Donohue 2008 (adapted),1475,18,*,Gadis cantik itu ditontonku.,Gadis cantik itu diperhatikanku.,I watched that beautiful girl.,Donohue 2008 (adapted),1475,22,Verbal Agreement,person constraint
751,ind,g,Alat musiknya bagus sekali.,Alat muziknya sangat bagus.,The/His/Her musical instrument is very good.,constructed,nan,nan,*,Alatnya musiknya bagus sekali.,Alatnya muziknya sangat bagus.,The/His/Her musical instrument is very good.,Moeljadi 2023,439,nan,Nominal Structure,modifier
1780,ind,g,"Esti bilang seseorang politisi terkenal tertentu tinggal di rumah tertentu di lingkungannya, tapi saya sudah lupa siapa di rumah yang mana.","Esti kata seorang ahli politik terkenal tertentu tinggal di rumah tertentu di kawasannya, tapi saya sudah lupa siapa di rumah yang mana.","Esti said that a famous politician lives in a certain house in her neighborhood, but I already forgot who in which house.",Sato 2016,253,33,*,"Esti bilang seseorang politisi terkenal tertentu datang ke rumahnya untuk beberapa alasan, tapi saya sudah lupa siapa kenapa.","Esti kata seorang ahli politik terkenal tertentu datang ke rumahnya untuk beberapa alasan, tapi saya sudah lupa siapa kenapa.","Esti said that a famous politician came to her house for some reason, but I already forgot who why.",Sato 2016,253,34,Ellipsis,sluicing
1269,zsm,g,Jadilah seorang guru!,Jadilah seorang guru!,Become a teacher!,Amir Rahid 2018 (adapted),30,16b,*,Ialah seorang guru!,Ialah seorang guru!,Be a teacher!,Amir Rahid 2018,30,16a,Misc./Unknown,focus
758,ind,g,Saya akan mendeskripsikan rumah saya.,Saya akan menerangkan rumah saya.,I will describe my house.,constructed,nan,nan,*,Saya akan deskripsi rumah saya.,Saya akan terang rumah saya.,I will describe my house.,Moeljadi 2023,440,nan,Morphology,part of speech
760,ind,g,Saya pergi mengunjungi rumah paman.,Saya pergi mengunjungi rumah pak cik.,I went to visit my uncle's house.,constructed,nan,nan,*,Saya pergi berkunjung mengunjungi rumah paman.,Saya pergi berkunjung mengunjungi rumah pak cik.,I went to visit my uncle's house.,Moeljadi 2023,440,nan,Misc./Unknown,verbal structure
1272,zsm,g,Lantai sudah bersih.,Lantai sudah bersih.,The floor is now clean.,Amir Rahid 2018,32,20a,*,Lantai sudah adalah bersih.,Lantai sudah adalah bersih.,The floor is now clean.,Amir Rahid 2018,32,20a,Misc./Unknown,copula
2294,zsm,g,Ali tidak pandai bercakap bahasa Jepun sepatah pun.,Ali tidak pandai bercakap bahasa Jepun sepatah pun.,Ali does not know how to speak even a single word of Japanese.,Zoraida 2006,78,27a,*,Ali pandai bercakap bahasa Jepun sepatah pun.,Ali pandai bercakap bahasa Jepun sepatah pun.,Ali knows how to speak even a single word of Japanese.,Zoraida 2006,78,27b,NPI Licensing,NPI
2295,zsm,g,Dia tidak mengalihkan sedikit pun matanya.,Dia tidak mengalihkan sedikit pun matanya.,He didn't move his eyes even slightly.,Zoraida 2006,79,30a,*,Dia mengalihkan sedikit pun matanya.,Dia mengalihkan sedikit pun matanya.,He move his eyes even slightly.,Zoraida 2006,79,30b,NPI Licensing,NPI
2298,zsm,g,Mereka tidak berganjak sedikit pun dari tempat masing-masing.,Mereka tidak berganjak sedikit pun dari tempat masing-masing.,They did not move a bit from their respective places.,Zoraida 2006,79,31a,*,Mereka tidak berganjak sedikit dari tempat masing-masing.,Mereka tidak berganjak sedikit dari tempat masing-masing.,They did not move a bit from their respective places.,Zoraida 2006,79,31c,NPI Licensing,NPI
771,zsm,g,Ali dipecat kerana dia membeli apa?,Ali dipecat kerana dia membeli apa?,Ali was fired because Fatimah thinks he bought what?,Cole & Hermon 1998 (adapted),228,15,*,Apa yang Ali dipecat kerana dia beli?,Apa yang Ali dipecat kerana dia beli?,Ali was fired because he bought what?,Cole & Hermon 1998,227,9,Island effects,adjunct island
772,zsm,g,Ali dipecat kerana dia membeli apa?,Ali dipecat kerana dia membeli apa?,Ali was fired because Fatimah thinks he bought what?,Cole & Hermon 1998 (adapted),228,15,*,Apa Ali dipecat kerana dia beli?,Apa Ali dipecat kerana dia beli?,Ali was fired because he bought what?,Cole & Hermon 1998,227,9,Island effects,adjunct island
2307,zsm,g,Kalau tidak bercuti tidak sempat saya buat kerja ini.,"Kalau tidak bercuti, tidak sempat saya buat kerja ini.","If I didn't have a vacation, I wouldn't have time to do this work.",Zoraida 2006,82,54,*,Kalau tidak bercuti bukan sempat saya buat kerja ini.,"Kalau tidak bercuti, bukan sempat saya buat kerja ini.","If I didn't have a vacation, I wouldn't have time to do this work.",Zoraida 2006,82,54,Misc./Unknown,negation
2303,zsm,g,Paling kurang 5 orang telah berjaya ke menara gading.,Paling kurang 5 orang telah berjaya ke menara gading.,At least 5 people have made it to the ivory tower.,Zoraida 2006,81,40a,*,Paling 5 orang telah berjaya ke menara gading.,Paling 5 orang telah berjaya ke menara gading.,At least 5 people have made it to the ivory tower.,Zoraida 2006,81,40b,Morphology,idiom
2314,ind,g,Siapa yang rumahnya diratakan kemarin?,Siapa yang rumahnya dimusnahkan semalam?,Whose house was destroyed yesterday?,Jeoung 2020a,121,28,*,Siapa yang rumah diratakan kemarin?,Siapa yang rumah dimusnahkan semalam?,Whose house was destroyed yesterday?,Jeoung 2020a,121,28,Filler-gap,resumptive pronoun
1293,zsm,g,Buku itu sudah dibacanya.,Buku itu sudah dibacanya.,The book was already read by him/her.,constructed,nan,nan,*,Buku itu sudah mendibacanya.,Buku itu sudah mendibacanya.,The book was already read by him/her.,Nomoto 2013,139,47a,Morphology,voice
782,zsm,g,Lelaki yang kamu tanya beli apa ialah abang saya.,Lelaki yang kamu tanya beli apa ialah abang saya.,The man who you asked bought what is my brother.,Cole & Hermon 1998,230,21b,*,Lelaki yang kamu tanya apa beli ialah abang saya.,Lelaki yang kamu tanya apa beli ialah abang saya.,The man who you asked bought what is my brother.,Cole & Hermon 1998,230,20b,Island effects,wh- island
2322,ind,g,Promosi akan saya dapat.,Kenaikan pangkat akan saya dapat.,I will get a promotion.,Jeoung 2020b,e161,21,*,Promosi suka saya dapat.,Kenaikan pangkat suka saya dapat.,I need to get a promotion.,Jeoung 2020b,e164,36,Morphology,part of speech
788,zsm,g,Siapa Ali buktikan yang curi kereta?,Siapa Ali buktikan yang curi kereta?,Who did Ali prove stole the car?,Cole & Hermon 1998,232,27b,*,Siapa Ali membuktikan yang curi kereta?,Siapa Ali membuktikan yang curi kereta?,Who did Ali prove stole the car?,Cole & Hermon 1998,232,27b,Filler-gap,wh- question
2317,ind,g,Banyak film romantis sudah kutonton.,Banyak filem romantik sudah kutonton.,I have watched many romantic films.,Jeoung 2020b,e161,22,*,Banyak film romantis setuju kutonton.,Banyak filem romantik setuju kutonton.,I agreed to watch many romantic films.,Jeoung 2020b,e161,26,Morphology,part of speech
2323,ind,g,Mereka pelajar.,Mereka pelajar.,They are students.,Nomoto 2013,113,28a,*,Mereka pelajar-pelajar.,Mereka pelajar-pelajar.,They are students.,Nomoto 2013,113,28a,Morphology,inflection
280,zsm,g,Anjing yang tidur di atas bangku itu anjing saya.,Anjing yang tidur di atas bangku itu anjing saya.,The dog that sleeps on the bench is my dog.,Yeoh 1979,34,53a,*,Anjing yang di atas bangku tidur itu anjing saya.,Anjing yang di atas bangku tidur itu anjing saya.,The dog that on the bench sleeps is my dog.,Yeoh 1979,34,53b,Argument Structure,scrambling
793,zsm,g,Fatimah yang Ali cintai.,Fatimah yang Ali cintai.,It’s Fatimah who Ali loves.,Cole & Hermon 1998,233,30b,*,Fatimah yang Ali mencintai.,Fatimah yang Ali mencintai.,It’s Fatimah who Ali loves.,Cole & Hermon 1998,233,30b,Filler-gap,cleft
792,zsm,g,Buku ini yang Fatimah beli.,Buku ini yang Fatimah beli.,This is the book that Fatimah bought.,Cole & Hermon 1998,233,30a,*,Buku ini yang Fatimah membeli.,Buku ini yang Fatimah membeli.,This is the book that Fatimah bought.,Cole & Hermon 1998,233,30a,Filler-gap,cleft
768,ind,g,Kamu fikir Ali suka perempuan yang tinggal di mana?,Kamu fikir Ali suka perempuan yang tinggal di mana?,You think Ali likes the woman who lives where?,Cole & Hermon 1998,228,13a,*,Di mana kamu fikir Ali suka perempuan yang tinggal?,Di mana kamu fikir Ali suka perempuan yang tinggal?,You think Ali likes woman who lives where?,Cole & Hermon 1998,227,7a,Island effects,complex-NP island
1308,ind,g,Saya menyuruh dia makan.,Saya menyuruh dia makan.,I asked him to eat.,Arka 2013,28,12b,*,Saya menyuruh dia sudah makan.,Saya menyuruh dia sudah makan.,I asked him to already eat.,Arka 2013,28,12c,Control/Raising,object control
1309,ind,g,Saya menyuruh dia makan.,Saya menyuruh dia makan.,I asked him to eat.,Arka 2013,28,12b,*,Saya menyuruh dia sedang makan.,Saya menyuruh dia sedang makan.,I asked him to be eating.,Arka 2013,28,12c,Control/Raising,object control
1310,ind,g,Orang itu mendorong saya jatuh.,Orang itu menolak saya jatuh.,The person pushed me (and as a result I) fell off.,Arka 2013,28,13a,*,Orang itu medorong saya akan jatuh.,Orang itu menolak saya akan jatuh.,The person pushed me (and as a result I) would fall off.,Arka 2013,28,13b,Misc./Unknown,verbal structure
2296,zsm,g,Dia tidak mengalihkan sedikit pun matanya.,Dia tidak mengalihkan sedikit pun matanya.,He didn't move his eyes even slightly.,Zoraida 2006,79,30a,*,Dia tidak mengalihkan sedikit matanya.,Dia tidak mengalihkan sedikit matanya.,He didn't move his eyes even slightly.,Zoraida 2006,79,30c,NPI Licensing,NPI
808,zsm,g,Siapa tidak mau coklat payung?,Siapa tidak mau coklat payung?,Who does not want an umbrella chocolate?,constructed,nan,nan,*,Siapa bukan mau coklat payung?,Siapa bukan mau coklat payung?,Who does not want an umbrella chocolate?,"Cole, Hermon & Tjung 2005",574,55a,Misc./Unknown,negation
809,ind,g,"Ali berdansa dengan Fatimah kemarin, tapi saya tidak ingat dengan siapa lagi.","Ali menari dengan Fatimah semalam, tetapi saya tidak ingat dengan siapa lagi.","Ali danced with Fatimah yesterday, but I don't remember who else with.",Sato 2011 (adapted),348,18a,*,"Ali berdansa dengan Fatimah kemarin, tapi saya tidak ingat dengan siapa itu lagi.","Ali menari dengan Fatimah semalam, tetapi saya tidak ingat dengan siapa itu lagi.","Ali danced with Fatimah yesterday, but I don't remember who else with.",Sato 2011 (adapted),348,18b,Ellipsis,sluicing
813,ind,g,Mereka ada rapat.,Mereka ada mesyuarat.,They have a meeting.,Moeljadi 2011,127,7e,*,Mereka ada rapatnya.,Mereka ada mesyuaratnya.,They have a meeting.,Moeljadi 2011,127,7f,Nominal Structure,modifier
2299,zsm,g,Mereka tidak makan apa-apa sejak pagi tadi.,Mereka tidak makan apa-apa sejak pagi tadi.,They haven't eaten anything since this morning.,Zoraida 2006,80,32b,*,Mereka makan apa-apa sejak pagi tadi.,Mereka makan apa-apa sejak pagi tadi.,They have eaten anything since this morning.,Zoraida 2006,80,32c,NPI Licensing,NPI
1335,ind,g,Kapan lahirnya?,Bila lahirnya?,When was s/he born?,Arka 2013,35,36a,*,Kapan akan lahirnya?,Bila akan lahirnya?,When will s/he be born?,Arka 2013,35,36b,Morphology,nominalization
1338,ind,g,Dia tidur.,Dia tidur.,S/he is sleeping.,Arka 2013,37,44a,*,Dia adalah tidur.,Dia adalah tidur.,S/he is sleeping.,Arka 2013,37,44b,Misc./Unknown,copula
2292,zsm,g,Seorang kuli menggergaji kayu datang.,Seorang tukang kayu datang.,A woodcutter came.,constructed,nan,nan,*,Kuli menggergaji kayu datang seorang.,Tukang kayu seorang datang.,A woodcutter came.,Zoraida 2006 (adapted),78,25c,Quantifiers,floating quantifiers
1284,ind,g,Ayah tentu akan kuobati.,Ayah tentu akan kuubati.,I certainly will treat father.,constructed,nan,nan,?*,Ayah tentu kuakan obati.,Ayah tentu kuakan ubati.,I certainly will treat father.,Nomoto 2022,355,36b,Argument Structure,passive
1350,ind,g,Siapa yang kamu buktikan telah mencuri mobil?,Siapa yang awak buktikan telah mencuri kereta?,Who did you prove stole the car?,"Cole, Hermon & Yanti 2008 (adapted)",1514,44b,*,Siapa yang kamu membuktikan telah mencuri mobil?,Siapa yang awak membuktikan telah mencuri kereta?,Who did you prove stole the car?,"Cole, Hermon & Yanti 2008 (adapted)",1514,44b,Filler-gap,wh- question
2304,zsm,g,Paling tidak mereka mesti singgah ke rumah saya.,Paling tidak mereka mesti singgah ke rumah saya.,At least they must stop by my house.,Zoraida 2006,81,41a,*,Paling mereka mesti singgah ke rumah saya.,Paling mereka mesti singgah ke rumah saya.,At least they must stop by my house.,Zoraida 2006,81,41b,Morphology,idiom
334,zsm,g,Awak telah membaca buku itu.,Awak telah membaca buku itu.,You have read the book.,Yeoh 1979,85,157'a,*,Awak telah baca buku itu.,Awak telah baca buku itu.,You have read the book.,Yeoh 1979,85,157'd,Morphology,voice
866,ind,g,Sebutir kelapa jatuh di atas atap rumah.,Sebiji kelapa jatuh di atas bumbung rumah.,A coconut fell on the roof.,Sukarno 2003,35,35a,*,Sebutir kelapa menjatuhi di atas atap rumah.,Sebiji kelapa menjatuhi ke atas bumbung rumah.,?A coconut fell the roof.,Sukarno 2003,35,35b,Argument Structure,transitivity
872,ind,g,Saya menembakkan peluru karet ke arah sheriff itu tiga kali.,Saya menembakkan peluru getah ke arah syerif itu tiga kali.,I shot (off/with) rubber bullets at the sheriff three times.,Sukarno 2003,40,41b,*,Saya menembakkan ke arah sheriff itu tiga kali.,Saya menembakkan ke arah syerif itu tiga kali.,I shot (with) (pro) at the sheriff three times.,Sukarno 2003,40,41b',Ellipsis,nominal ellipsis
1901,ind,g,Di sekolahnya Dodi aku mau rapat.,Di sekolah Dodi aku ingin mesyuarat.,At Dodi’s school I want to meet.,Jeoung 2018,129,41,*,Di sekolahnya Dodi yang aku mau rapat.,Di sekolah Dodi yang aku ingin mesyuarat.,At Dodi’s school I want to meet.,Jeoung 2018,129,41,Filler-gap,cleft
1903,ind,g,Siapa yang bukunya dibaca oleh adik?,Siapa yang bukunya dibaca oleh adik?,Who is it that (her) book was read by little brother?,Jeoung 2018,138,64,*,Siapa yang buku dibaca oleh adik?,Siapa yang buku dibaca oleh adik?,Who is it that (her) book was read by little brother?,Jeoung 2018,138,64,Filler-gap,resumptive pronoun
886,ind,g,Terry menyapu lantai.,Terry menyapu lantai.,Terry broomed the floor.,Sukarno 2003,58,20b,*,Terry menyapukan lantai.,Terry menyapukan lantai.,Terry broomed the floor on/against something.,Sukarno 2003,58,20b',Argument Structure,internal argument
2315,ind,g,Saya belum mulai bercerita tentang orang tua saya.,Saya belum mula bercerita tentang ibu bapa saya.,I did not yet begin to tell about my parents.,Jeoung 2020b,e161,20a,*,Saya mulai belum bercerita tentang orang tua saya.,Saya mula belum bercerita tentang ibu bapa saya.,I did not yet begin to tell about my parents.,Jeoung 2020b,e161,20b,Misc./Unknown,verbal structure
389,zsm,g,John mengambil buku dari para.,John mengambil buku dari para.,John took the book from shelves.,Ramli 1987,15,1d,*,John mengambil dari para buku itu.,John mengambil dari para buku itu.,John took from the shelves the book.,Ramli 1987,16,2e,Argument Structure,scrambling
390,zsm,g,John memberi sepuluh ringgit kepada dana itu.,John memberi sepuluh ringgit kepada dana itu.,John gave ten dollars to the fund.,Ramli 1987,15,1e,*,John memberi kepada dana itu sepuluh ringgit.,John memberi kepada dana itu sepuluh ringgit.,John gave to the fund ten dollars.,Ramli 1987,16,2f,Argument Structure,scrambling
904,ind,g,Anak-anak mencairkan saljunya.,Kanak-kanak mencairkan saljinya.,The children melt the snow.,Sukarno 2003,85,60b,*,Panas matahari mencairkan saljunya.,Panas matahari mencairkan saljinya.,The heat of the sun melts the snow.,Sukarno 2003,86,61b,Argument Structure,animacy
906,ind,g,John akan memanjangkan jenggotnya.,John akan memanjangkan janggutnya.,John is going to let his beard grow long.,Sukarno 2003,85,60c,*,Kemalasan untuk cukur memanjangkan jenggotnya.,Kemalasan untuk cukur memanjangkan janggutnya.,His laziness to have a haircut lengthens his beard.,Sukarno 2003,86,61c,Argument Structure,animacy
401,zsm,g,Ali mungkin telah terlalu letih untuk belajar.,Ali mungkin telah terlalu letih untuk belajar.,Ali probably has been too tired to study.,Ramli 1987,32,25b,*,Ali telah mungkin terlalu letih untuk belajar.,Ali telah mungkin terlalu letih untuk belajar.,Ali had probably been too tired to study.,Ramli 1987,32,25d,Misc./Unknown,verbal structure
403,zsm,g,Saya mahu supaya Ahmad pergi.,Saya mahu supaya Ahmad pergi.,I want for Ahmad to go.,Ramli 1987,37,34a,*,Saya mahu supaya Ahmad akan pergi.,Saya mahu supaya Ahmad akan pergi.,*I want for Ahmad will go.,Ramli 1987,37,34b,Control/Raising,complementation
1942,ind,g,Adit adalah bukan gurunya Udin.,Adit adalah bukan guru Udin.,Adit is not Udin's teacher.,constructed,nan,nan,*,Adit bukan adalah gurunya Udin.,Adit bukan adalah guru Udin.,Adit is not Udin's teacher.,Besier 2021,25,18,Misc./Unknown,negation
925,ind,g,Ibu sedih.,Ibu sedih.,Mother is/was sad.,Sukarno 2003,93,81,*,Ibu menyedih.,Ibu menyedih.,Mother is/was becoming sad.,Sukarno 2003,95,84b,Argument Structure,aspect
420,zsm,g,Saya beli sebuah buku supaya awak baca.,Saya beli sebuah buku supaya awak baca.,I bought a book for you to read.,Ramli 1987,49,60c,*,Saya beli sebuah buku awak baca.,Saya beli sebuah buku awak baca.,I bought a book for you to read.,Ramli 1987,49,62b,Control/Raising,object control
438,zsm,g,Mengenai apakah awak bercakap dengan Mary?,Mengenai apakah awak bercakap dengan Mary?,About what did you talk with Mary?,Ramli 1987,82,32f,*,Apakah awak bercakap dengan Mary mengenai?,Apakah awak bercakap dengan Mary mengenai?,What did you talk with Mary about?,Ramli 1987,82,33b,Filler-gap,wh- question
446,zsm,g,Guru menunjukkan eksperimen sains itu.,Guru menunjukkan eksperimen sains itu.,The teacher demonstrated the science experiment.,Ramli 1987,94,56c,*,Guru menunjuk eksperimen sains itu.,Guru menunjuk eksperimen sains itu.,The teacher demonstrated the science experiment.,Ramli 1987,94,56b,Argument Structure,transitivity
2287,zsm,g,Budak kecil itu tidak mahu makan langsung.,Budak kecil itu tidak mahu makan langsung.,The little boy does not want to eat at all.,Zoraida 2006,74,13c,*,Budak kecil itu langsung mahu makan.,Budak kecil itu langsung mahu makan.,The little boy wants to eat at all.,Zoraida 2006,74,13e,NPI Licensing,NPI
462,zsm,g,John melempar batu itu terus ke luar.,John melempar batu itu terus ke luar.,John threw the stone right out.,Ramli 1987,108,85a,*,John melempar ke luar batu itu terus.,John melempar ke luar batu itu terus.,John threw out the stone right.,Ramli 1987,108,85b,Argument Structure,scrambling
2231,zsm,g,Budak-budak itu bermain dengan tiga biji bola,Budak-budak itu bermain dengan tiga biji bola.,The children played with three balls.,Carson 2000,3,1,*,Budak-budak itu bermain dengan tiga ekor bola,Budak-budak itu bermain dengan tiga ekor bola.,The children played with three balls.,Carson 2000,3,1,Quantifiers,classifier
2232,ind,g,Saya mahu lima ekor kuda.,Saya mahu lima ekor kuda.,I want five horses.,Carson 2000,3,2,*,Saya mahu lima biji kuda.,Saya mahu lima biji kuda.,I want five horses.,Carson 2000,3,2,Quantifiers,classifier
479,zsm,g,Adakah emak menggoreng ikan itu?,Adakah emak menggoreng ikan itu?,Did mother fry the fish?,Ramli 1987 (adapted),122,2b,*,Menggorengkah emak ikan itu?,Menggorengkah emak ikan itu?,Did mother fry the fish?,Ramli 1987,122,2d,Misc./Unknown,focus
992,ind,g,Ibu membelikan Fatimah sebuah baju.,Ibu membelikan Fatimah sehelai baju.,Mother bought a shirt/dress.,Sukarno 2003,140,149c,*,lbu membelikan sebuah baju Fatimah.,Ibu membelikan sehelai baju Fatimah.,Mother bought a shirt/dress.,Sukarno 2003,140,149b,Argument Structure,applicative
484,zsm,g,Aminah memandu kereta dengan perlahan.,Aminah memandu kereta dengan perlahan.,Aminah drives the car slowly.,Ramli 1987,136,18a,*,Aminah memandu dengan perlahan kereta.,Aminah memandu dengan perlahan kereta.,Aminah drives the car slowly.,Ramli 1987,136,18b,Argument Structure,scrambling
486,zsm,g,Aminah membaca buku di rumah.,Aminah membaca buku di rumah.,Aminah reads a book at home.,Ramli 1987,136,18a,*,Aminah membaca di rumah buku.,Aminah membaca di rumah buku.,Aminah reads a book at home.,Ramli 1987,136,18b,Argument Structure,scrambling
2235,zsm,g,Tiga baldi air hujan itu kotor.,Tiga baldi air hujan itu kotor.,The three buckets of rainwater are dirty.,constructed,13,23,*,Tiga air hujan itu kotor.,Tiga air hujan itu kotor.,The three rainwaters are dirty.,Carson 2000 (adapted),13,24,Nominal Structure,measure phrase
1117,ind,g,Berita itu menyedihkan ibu.,Berita itu menyedihkan ibu.,The news saddened mother.,Sukarno 2003,290,70a,*,Ibu disedihkan oleh berita itu.,Ibu disedihkan oleh berita itu.,Mother was saddened by the news.,Sukarno 2003,291,72a,Argument Structure,animacy
2237,ind,g,Budak-budak perempuan itu sedang bermain.,Budak-budak perempuan itu sedang bermain.,The girls are playing.,Carson 2000,36,35,*,Budak perempuan-perempuan itu sedang bermain.,Budak perempuan-perempuan itu sedang bermain.,The girls are playing.,Carson 2000,36,38,Morphology,inflection
1530,ind,g,Dia bukan guru.,Dia bukan guru.,She isn't a teacher.,Kroeger 2014,138,1d,*,Dia tidak guru.,Dia tidak guru.,She isn't a teacher.,Kroeger 2014,138,1d,Misc./Unknown,negation
